ticker,raw_file,clean_file,rows,rows_changed,price_values_changed,rules_applied,rule_details,status
MOMENTUM.NS,C:\Users\dhruv\Investment-copilot\data\raw\etfs\MOMENTUM_NS.parquet,C:\Users\dhruv\Investment-copilot\data\clean\etfs\MOMENTUM_NS.parquet,1009,0,0,0,,APPLIED_AND_VERIFIED
MON100.NS,C:\Users\dhruv\Investment-copilot\data\raw\etfs\MON100_NS.parquet,C:\Users\dhruv\Investment-copilot\data\clean\etfs\MON100_NS.parquet,3139,2,10,1,TEMPORARY_SCALE_DISCONTINUITY|2021-06-17→2021-06-18|factor=9.839249,APPLIED_AND_VERIFIED
MONQ50.NS,C:\Users\dhruv\Investment-copilot\data\raw\etfs\MONQ50_NS.parquet,C:\Users\dhruv\Investment-copilot\data\clean\etfs\MONQ50_NS.parquet,1169,0,0,0,,APPLIED_AND_VERIFIED
NIFTY1.NS,C:\Users\dhruv\Investment-copilot\data\raw\etfs\NIFTY1_NS.parquet,C:\Users\dhruv\Investment-copilot\data\clean\etfs\NIFTY1_NS.parquet,3138,0,0,0,,APPLIED_AND_VERIFIED
NIFTYBEES.NS,C:\Users\dhruv\Investment-copilot\data\raw\etfs\NIFTYBEES_NS.parquet,C:\Users\dhruv\Investment-copilot\data\clean\etfs\NIFTYBEES_NS.parquet,3139,2,10,1,TEMPORARY_SCALE_DISCONTINUITY|2019-12-19→2019-12-20|factor=9.766244,APPLIED_AND_VERIFIED
NIFTYETF.NS,C:\Users\dhruv\Investment-copilot\data\raw\etfs\NIFTYETF_NS.parquet,C:\Users\dhruv\Investment-copilot\data\clean\etfs\NIFTYETF_NS.parquet,1937,0,0,0,,APPLIED_AND_VERIFIED
NIFTYIETF.NS,C:\Users\dhruv\Investment-copilot\data\raw\etfs\NIFTYIETF_NS.parquet,C:\Users\dhruv\Investment-copilot\data\clean\etfs\NIFTYIETF_NS.parquet,619,0,0,0,,APPLIED_AND_VERIFIED
NIFTYQLITY.NS,C:\Users\dhruv\Investment-copilot\data\raw\etfs\NIFTYQLITY_NS.parquet,C:\Users\dhruv\Investment-copilot\data\clean\etfs\NIFTYQLITY_NS.parquet,1009,0,0,0,,APPLIED_AND_VERIFIED
PHARMABEES.NS,C:\Users\dhruv\Investment-copilot\data\raw\etfs\PHARMABEES_NS.parquet,C:\Users\dhruv\Investment-copilot\data\clean\etfs\PHARMABEES_NS.parquet,1267,0,0,0,,APPLIED_AND_VERIFIED
PSUBANK.NS,C:\Users\dhruv\Investment-copilot\data\raw\etfs\PSUBANK_NS.parquet,C:\Users\dhruv\Investment-copilot\data\clean\etfs\PSUBANK_NS.parquet,3138,3087,15435,1,PERSISTENT_SCALE_CHANGE|before=2026-07-10|factor=0.098008,APPLIED_AND_VERIFIED
QUAL30IETF.NS,C:\Users\dhruv\Investment-copilot\data\raw\etfs\QUAL30IETF_NS.parquet,C:\Users\dhruv\Investment-copilot\data\clean\etfs\QUAL30IETF_NS.parquet,762,0,0,0,,APPLIED_AND_VERIFIED
SETFGOLD.NS,C:\Users\dhruv\Investment-copilot\data\raw\etfs\SETFGOLD_NS.parquet,C:\Users\dhruv\Investment-copilot\data\clean\etfs\SETFGOLD_NS.parquet,3140,2,10,1,TEMPORARY_SCALE_DISCONTINUITY|2022-01-06→2022-01-07|factor=100.713106,APPLIED_AND_VERIFIED
SETFNIF50.NS,C:\Users\dhruv\Investment-copilot\data\raw\etfs\SETFNIF50_NS.parquet,C:\Users\dhruv\Investment-copilot\data\clean\etfs\SETFNIF50_NS.parquet,2758,0,0,0,,APPLIED_AND_VERIFIED
SETFNIFBK.NS,C:\Users\dhruv\Investment-copilot\data\raw\etfs\SETFNIFBK_NS.parquet,C:\Users\dhruv\Investment-copilot\data\clean\etfs\SETFNIFBK_NS.parquet,2840,0,0,0,,APPLIED_AND_VERIFIED
SETFNN50.NS,C:\Users\dhruv\Investment-copilot\data\raw\etfs\SETFNN50_NS.parquet,C:\Users\dhruv\Investment-copilot\data\clean\etfs\SETFNN50_NS.parquet,2840,0,0,0,,APPLIED_AND_VERIFIED
SILVERBEES.NS,C:\Users\dhruv\Investment-copilot\data\raw\etfs\SILVERBEES_NS.parquet,C:\Users\dhruv\Investment-copilot\data\clean\etfs\SILVERBEES_NS.parquet,1145,0,0,0,,APPLIED_AND_VERIFIED
TATAGOLD.NS,C:\Users\dhruv\Investment-copilot\data\raw\etfs\TATAGOLD_NS.parquet,C:\Users\dhruv\Investment-copilot\data\clean\etfs\TATAGOLD_NS.parquet,666,0,0,0,,APPLIED_AND_VERIFIED
